Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,335.350006,338.000000,329.779999,334.750000,329.630005,28865100
2022-01-04,334.829987,335.200012,326.119995,329.010010,323.970001,32674300
2022-01-05,325.859985,326.070007,315.980011,316.380005,311.880005,40054300
2022-01-06,313.149994,318.700012,311.489990,313.880005,309.420013,39646100
2022-01-07,314.149994,316.500000,310.089996,314.040009,309.579987,32720000
2022-01-10,309.489990,314.720001,304.690002,314.269989,309.809998,44289500
2022-01-11,315.450012,316.609985,309.890015,314.980011,310.519989,29386800
2022-01-12,319.670013,323.410004,317.079987,318.269989,313.739990,34372200
2022-01-13,320.470001,324.179993,315.429993,304.799988,300.470001,45366000
2022-01-14,304.250000,310.820007,303.750000,310.200012,305.799988,39846400
2022-01-18,304.070007,309.799988,301.739990,302.649994,298.429993,42333200
2022-01-19,306.290009,313.910004,302.700012,303.329987,299.100006,45933900
2022-01-20,309.070007,311.649994,301.140015,301.600006,297.399994,35380700
2022-01-21,302.690002,304.109985,295.609985,296.029999,291.910004,57984400
2022-01-24,292.200012,297.109985,276.049988,296.369995,291.579987,85731500
2022-01-25,291.519989,294.989990,285.170013,288.489990,284.529999,72848600
2022-01-26,307.989990,308.500000,293.029999,296.709991,292.899994,90428900
2022-01-27,302.660004,307.299988,297.929993,299.839996,296.000000,62199000
2022-01-28,300.230011,308.480011,294.450012,308.260010,304.359985,49743700
2022-02-01,310.410004,310.630005,305.130005,308.760010,304.850006,40950400
2022-02-02,309.630005,315.119995,308.880005,313.459991,309.500000,36636000
2022-02-03,309.489990,311.230011,299.959991,301.250000,297.070007,43730000
2022-02-04,300.209991,308.170013,299.459991,305.940002,301.709991,35096400
2022-02-07,306.170013,307.839996,299.899994,300.950012,296.790009,28533300
2022-02-08,301.250000,305.559998,299.950012,304.559998,300.320007,32421200
2022-02-09,309.869995,311.929993,307.390015,311.209991,307.209991,31284700
2022-02-10,304.040009,309.119995,300.700012,302.380005,298.220001,45386200
2022-02-11,303.190002,304.290009,294.220001,295.040009,291.000000,39175600
2022-02-14,293.769989,297.570007,291.079987,294.589996,290.559998,36359500
2022-02-15,300.010010,300.799988,297.019989,300.470001,296.309998,27058300
2022-02-16,298.369995,301.119995,295.399994,299.500000,295.350006,29982100
2022-02-17,296.359985,296.799988,290.000000,290.730011,286.730011,32461600
2022-02-18,293.049988,294.820007,286.230011,287.929993,283.970001,34264000
2022-02-22,285.000000,291.540009,284.500000,287.720001,283.760002,41736100
2022-02-23,290.179993,291.700012,280.100006,280.269989,276.440002,37811200
2022-02-24,272.510010,295.160004,271.519989,294.589996,290.559998,56989700
