Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,182.009995,183.740005,178.649994,181.259995,179.273163,104487900
2022-01-04,183.509995,184.949997,179.699997,180.960007,178.976410,99310400
2022-01-05,180.169998,181.179993,175.410004,175.529999,173.605804,94537600
2022-01-06,173.320007,175.300003,171.639999,172.000000,170.114807,96904000
2022-01-07,172.860001,174.139999,171.029999,172.169998,170.283051,86709100
2022-01-10,169.080002,172.500000,168.169998,172.190002,170.302841,106765600
2022-01-11,172.320007,175.179993,170.820007,175.080002,173.161819,76138300
2022-01-12,176.119995,177.179993,174.820007,175.529999,173.605804,74805200
2022-01-13,175.779999,176.619995,171.789993,172.190002,170.302841,84505800
2022-01-14,171.339996,173.779999,171.089996,173.070007,171.173477,80440800
2022-01-18,171.509995,172.539993,169.410004,169.800003,167.940063,90956700
2022-01-19,170.000000,171.080002,165.940002,166.229996,164.408859,94815000
2022-01-20,166.979996,169.679993,164.179993,164.509995,162.708115,91420500
2022-01-21,164.419998,166.330002,162.300003,162.410004,160.632889,122848900
2022-01-24,160.020004,162.300003,154.699997,161.619995,159.851044,162294600
2022-01-25,158.979996,162.759995,157.020004,159.779999,158.032394,115798400
2022-01-26,163.500000,164.389999,157.820007,159.690002,157.943359,108275300
2022-01-27,162.449997,163.839996,158.279999,159.220001,157.478088,121954600
2022-01-28,165.710007,170.350006,162.800003,170.330002,168.456970,179935700
2022-02-01,174.009995,174.839996,172.309998,174.779999,172.861069,86201800
2022-02-02,174.750000,175.880005,173.330002,175.839996,173.910828,84914300
2022-02-03,174.479996,176.240005,172.119995,172.899994,171.003540,89418100
2022-02-04,171.679993,174.100006,170.679993,172.389999,170.499420,82465400
2022-02-07,172.860001,173.949997,170.949997,171.660004,169.777435,77251200
2022-02-08,171.729996,175.350006,171.429993,174.830002,172.911713,74829200
2022-02-09,176.050003,176.649994,174.899994,176.279999,174.345444,71285000
2022-02-10,174.139999,175.479996,171.550003,172.119995,170.230469,90865900
2022-02-11,172.330002,173.080002,168.039993,168.639999,166.790649,98670700
2022-02-14,167.369995,169.580002,166.559998,168.880005,167.027832,86185500
2022-02-15,170.970001,172.949997,170.250000,172.789993,170.893311,62527400
2022-02-16,171.850006,173.339996,170.050003,172.550003,170.655930,61177400
2022-02-17,171.029999,171.910004,168.470001,168.880005,167.027832,69589300
2022-02-18,169.820007,170.539993,166.190002,167.300003,165.465088,82772700
2022-02-22,164.979996,166.690002,162.149994,164.320007,162.518982,91162800
2022-02-23,165.539993,166.149994,159.750000,160.070007,158.316544,90009200
2022-02-24,152.580002,162.850006,152.000000,162.740005,160.956696,141147500
2022-02-25,163.839996,165.119995,160.869995,164.850006,163.045029,91974200
2022-02-28,163.059998,165.419998,162.429993,165.119995,163.312088,95056600
2022-03-01,164.699997,166.600006,161.970001,163.199997,161.413574,83474400
2022-03-02,164.389999,167.360001,162.949997,166.559998,164.738220,79724800
2022-03-03,168.470001,168.910004,165.550003,166.229996,164.411804,76678400
2022-03-04,164.490005,165.550003,162.100006,163.169998,161.384766,83737200
2022-03-07,163.360001,165.020004,159.039993,159.300003,157.560867,96418800
2022-03-08,158.820007,162.880005,155.800003,157.440002,155.720932,131148300
2022-03-09,161.479996,163.410004,159.410004,162.949997,161.170410,91454900
2022-03-10,160.199997,160.389999,155.979996,158.520004,156.787506,105342000
2022-03-11,158.929993,159.279999,154.500000,154.729996,153.037292,96970100
2022-03-14,151.449997,154.119995,150.100006,150.619995,148.971252,108732100
2022-03-15,150.899994,155.570007,150.380005,155.089996,153.391129,92964300
2022-03-16,157.050003,160.000000,154.460007,159.589996,157.843353,102300200
2022-03-17,158.610001,161.000000,157.630005,160.619995,158.862366,75615400
2022-03-18,160.509995,164.479996,159.759995,163.979996,162.184540,123351200
2022-03-21,163.509995,166.350006,163.009995,165.380005,163.571075,95811400
2022-03-22,165.509995,169.419998,164.910004,168.820007,166.974564,81532000
2022-03-23,167.990005,172.639999,167.649994,170.210007,168.349564,98062700
2022-03-24,171.059998,174.139999,170.210007,174.070007,172.165466,90131400
2022-03-25,173.880005,175.279999,172.750000,174.720001,172.808228,80546200
2022-03-28,172.169998,175.729996,172.000000,175.600006,173.678864,90371900
2022-03-29,176.690002,179.009995,176.339996,178.960007,176.999985,100589400
2022-03-30,178.550003,179.610001,176.699997,177.770004,175.824097,92633200
2022-03-31,177.839996,178.029999,174.399994,174.610001,172.698410,103049300
